book_id,title,authors,language_code,primary_genre,average_rating,ratings_count,item_idx
33,Memoirs of a Geisha,Arthur Golden,eng,ENG,4.08,1300209,32
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,eng,ENG,3.67,1338493,33
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",eng,ENG,3.82,1299566,34
36,"The Giver (The Giver, #1)",Lois Lowry,eng,ENG,4.12,1296825,35
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,eng,ENG,4.19,1531800,36
38,The Time Traveler's Wife,Audrey Niffenegger,eng,ENG,3.95,746287,37
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,eng,ENG,4.45,1319204,38
40,"Eat, Pray, Love",Elizabeth Gilbert,eng,ENG,3.51,1181647,39
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,eng,ENG,4.23,1366265,40
42,"Little Women (Little Women, #1)",Louisa May Alcott,en-US,EN-US,4.04,1257121,41
43,Jane Eyre,"Charlotte Brontë, Michael Mason",eng,ENG,4.1,1198557,42
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,eng,ENG,4.06,1053403,43
45,Life of Pi,Yann Martel,unknown,UNKNOWN,3.88,1003228,44
46,Water for Elephants,Sara Gruen,eng,ENG,4.07,1068146,45
47,The Book Thief,Markus Zusak,eng,ENG,4.36,1159741,46
48,Fahrenheit 451,Ray Bradbury,spa,SPA,3.97,570498,47
49,"New Moon (Twilight, #2)",Stephenie Meyer,eng,ENG,3.52,1149630,48
50,Where the Sidewalk Ends,Shel Silverstein,eng,ENG,4.29,1016888,49
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,eng,ENG,4.12,1154031,50
52,"Eclipse (Twilight, #3)",Stephenie Meyer,en-US,EN-US,3.69,1134511,51
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,en-US,EN-US,3.86,1104021,52
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,en-US,EN-US,4.2,936782,53
55,Brave New World,Aldous Huxley,eng,ENG,3.97,1022601,54
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,en-US,EN-US,3.7,1070245,55
57,The Secret Life of Bees,Sue Monk Kidd,en-US,EN-US,4.01,916189,56
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",eng,ENG,3.8,953758,57
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",eng,ENG,4.15,1064521,58
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,eng,ENG,3.85,867553,59
61,The Girl on the Train,Paula Hawkins,eng,ENG,3.88,1008778,60
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,eng,ENG,3.94,953970,61
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",eng,ENG,3.82,899195,62
64,My Sister's Keeper,Jodi Picoult,eng,ENG,4.06,863879,63
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,eng,ENG,4.06,846488,64
66,Gone with the Wind,Margaret Mitchell,eng,ENG,4.28,873981,65
67,A Thousand Splendid Suns,Khaled Hosseini,eng,ENG,4.34,818742,66
68,The Perks of Being a Wallflower,Stephen Chbosky,eng,ENG,4.21,888806,67
69,"Insurgent (Divergent, #2)",Veronica Roth,eng,ENG,4.07,836362,68
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,eng,ENG,4.3,813439,69
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",eng,ENG,3.75,808589,70
72,The Shining (The Shining #1),Stephen King,eng,ENG,4.17,791850,71
73,"The Host (The Host, #1)",Stephenie Meyer,en-US,EN-US,3.84,749780,72
74,Looking for Alaska,John Green,eng,ENG,4.09,783470,73
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,eng,ENG,3.75,736498,74
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",eng,ENG,4.06,738894,75
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",eng,ENG,3.93,747445,76
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,eng,ENG,3.7,665930,77
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",eng,ENG,3.73,670326,78
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",eng,ENG,4.28,738757,79
81,The Glass Castle,Jeannette Walls,eng,ENG,4.24,621099,80
82,Into the Wild,Jon Krakauer,eng,ENG,3.94,647684,81
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",eng,ENG,3.81,637412,82
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,spa,SPA,3.96,447833,83
85,The Giving Tree,Shel Silverstein,eng,ENG,4.38,702332,84
86,A Time to Kill,John Grisham,eng,ENG,4.03,597775,85
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",eng,ENG,4.3,691231,86
88,Paper Towns,John Green,en-US,EN-US,3.88,461311,87
89,The Princess Bride ,William Goldman,en-US,EN-US,4.25,628637,88
90,The Outsiders,S.E. Hinton,en-US,EN-US,4.06,659248,89
91,"The Maze Runner (Maze Runner, #1)",James Dashner,eng,ENG,4.02,719925,90
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",en-US,EN-US,3.93,524191,91
93,The Secret Garden,Frances Hodgson Burnett,eng,ENG,4.12,639357,92
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",eng,ENG,4.04,490565,93
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",eng,ENG,4.06,590014,94
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,eng,ENG,3.88,387290,95
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",eng,ENG,3.98,618973,96
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",eng,ENG,4.22,563994,97
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,eng,ENG,3.87,552059,98
100,The Poisonwood Bible,Barbara Kingsolver,eng,ENG,4.02,546502,99
101,Me Talk Pretty One Day,David Sedaris,eng,ENG,3.97,495736,100
102,Where the Wild Things Are,Maurice Sendak,eng,ENG,4.22,620618,101
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",eng,ENG,4.21,555822,102
104,The Road,Cormac McCarthy,eng,ENG,3.95,504793,103
105,"Allegiant (Divergent, #3)",Veronica Roth,eng,ENG,3.63,463257,104
106,Bossypants,Tina Fey,eng,ENG,3.94,506250,105
107,A Walk to Remember,Nicholas Sparks,en-US,EN-US,4.15,546948,106
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,eng,ENG,3.61,543658,107
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",eng,ENG,4.14,513407,108
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,eng,ENG,4.4,523303,109
111,The Memory Keeper's Daughter,Kim Edwards,eng,ENG,3.64,501430,110
112,"Me Before You (Me Before You, #1)",Jojo Moyes,eng,ENG,4.27,587647,111
113,Catch-22,Joseph Heller,en-US,EN-US,3.98,563265,112
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",eng,ENG,4.06,556518,113
115,Middlesex,Jeffrey Eugenides,en-US,EN-US,3.98,488243,114
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",eng,ENG,3.89,555359,115
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,en-US,EN-US,4.04,615907,116
118,The Joy Luck Club,Amy Tan,eng,ENG,3.9,515090,117
119,The Handmaid's Tale,Margaret Atwood,eng,ENG,4.06,607889,118
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,eng,ENG,3.75,525706,119
121,Lolita,"Vladimir Nabokov, Craig Raine",eng,ENG,3.88,469836,120
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",eng,ENG,3.52,506900,121
123,"The Firm (Penguin Readers, Level 5)",John Grisham,eng,ENG,3.99,488269,122
124,Room,Emma Donoghue,eng,ENG,4.03,511360,123
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",eng,ENG,4.0,515820,124
126,Dune (Dune Chronicles #1),Frank Herbert,eng,ENG,4.19,485032,125
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,eng,ENG,3.92,490504,126
128,Steve Jobs,Walter Isaacson,eng,ENG,4.09,560715,127
129,One Flew Over the Cuckoo's Nest,Ken Kesey,eng,ENG,4.18,491642,128
130,The Old Man and the Sea,Ernest Hemingway,eng,ENG,3.73,520630,129
131,The Grapes of Wrath,John Steinbeck,eng,ENG,3.92,322321,130
132,The Five People You Meet in Heaven,Mitch Albom,unknown,UNKNOWN,3.9,449501,131
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,eng,ENG,4.23,502247,132
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,en-US,EN-US,4.34,593173,133
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,eng,ENG,4.54,469022,134
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,en-US,EN-US,3.79,465676,135
137,"Outlander (Outlander, #1)",Diana Gabaldon,eng,ENG,4.2,515547,136
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",eng,ENG,3.37,509883,137
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,en-US,EN-US,3.89,613674,138
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",en-US,EN-US,4.2,443951,139
141,The Martian,Andy Weir,eng,ENG,4.39,423344,140
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,eng,ENG,4.29,462517,141
143,All the Light We Cannot See,Anthony Doerr,eng,ENG,4.31,470001,142
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,eng,ENG,4.4,487775,143
145,Deception Point,Dan Brown,eng,ENG,3.67,455610,144
146,The Goldfinch,Donna Tartt,eng,ENG,3.87,396756,145
147,Thirteen Reasons Why,Jay Asher,eng,ENG,4.02,463783,146
148,Girl with a Pearl Earring,Tracy Chevalier,eng,ENG,3.85,467577,147
149,"If I Stay (If I Stay, #1)",Gayle Forman,en-US,EN-US,3.96,503527,148
150,The Red Tent,Anita Diamant,en-US,EN-US,4.16,424981,149
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,eng,ENG,4.23,514932,150
152,Dear John,Nicholas Sparks,en-US,EN-US,4.01,441062,151
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,eng,ENG,4.21,541117,152
154,Macbeth,William Shakespeare,eng,ENG,3.88,496018,153
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,en-US,EN-US,4.42,480446,154
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,eng,ENG,3.83,403601,155
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",en-US,EN-US,4.29,457475,156
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",eng,ENG,4.1,453959,157
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,eng,ENG,4.39,508214,158
160,Great Expectations,Charles Dickens,eng,ENG,3.75,459247,159
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,en-US,EN-US,4.51,463959,160
162,The Stranger,"Albert Camus, Matthew    Ward",eng,ENG,3.96,420600,161
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,eng,ENG,4.35,271576,162
164,Eleanor & Park,Rainbow Rowell,eng,ENG,4.11,514312,163
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,en-US,EN-US,4.1,428186,164
166,"Matched (Matched, #1)",Ally Condie,eng,ENG,3.68,511815,165
167,"American Gods (American Gods, #1)",Neil Gaiman,eng,ENG,4.11,378019,166
168,The Stand,"Stephen King, Bernie Wrightson",en-US,EN-US,4.34,438832,167
169,The Last Song,Nicholas Sparks,en-GB,EN-GB,4.14,424637,168
170,Digital Fortress,Dan Brown,en-GB,EN-GB,3.6,423019,169
171,Emma,"Jane Austen, Fiona Stafford",eng,ENG,3.99,459826,170
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",eng,ENG,4.02,297472,171
173,A Clockwork Orange,Anthony Burgess,eng,ENG,3.98,431195,172
174,The Shack,William Paul Young,eng,ENG,3.74,419539,173
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,eng,ENG,4.5,397500,174
176,It,Stephen King,en-US,EN-US,4.18,292592,175
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",eng,ENG,4.18,380903,176
178,The Bell Jar,Sylvia Plath,en-US,EN-US,3.98,401605,177
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,eng,ENG,4.07,392103,178
180,Siddhartha,"Hermann Hesse, Hilda Rosner",eng,ENG,3.99,372099,179
181,In Cold Blood,Truman Capote,eng,ENG,4.05,381652,180
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",eng,ENG,3.76,436093,181
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,eng,ENG,4.33,490890,182
184,Matilda,"Roald Dahl, Quentin Blake",eng,ENG,4.29,440743,183
185,The Night Circus,Erin Morgenstern,eng,ENG,4.03,429543,184
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,eng,ENG,4.04,381080,185
187,"Uglies (Uglies, #1)",Scott Westerfeld,eng,ENG,3.86,449073,186
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,eng,ENG,4.31,365954,187
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,eng,ENG,4.47,389054,188
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,eng,ENG,3.96,379872,189
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",en-US,EN-US,4.35,398018,190
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,eng,ENG,4.55,400101,191
193,Outliers: The Story of Success,Malcolm Gladwell,en-US,EN-US,4.11,353011,192
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",eng,ENG,3.46,358050,193
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",eng,ENG,4.12,393626,194
196,Fight Club,Chuck Palahniuk,eng,ENG,4.2,365349,195
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,en-US,EN-US,3.96,420764,196
198,The Color Purple,Alice Walker,eng,ENG,4.17,376766,197
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,eng,ENG,4.12,367304,198
200,And Then There Were None,Agatha Christie,eng,ENG,4.23,408983,199
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,eng,ENG,3.66,369428,200
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,en-US,EN-US,4.0,448166,201
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,eng,ENG,4.15,418309,202
204,A Christmas Carol,Charles Dickens,unknown,UNKNOWN,4.02,394540,203
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,eng,ENG,3.97,372566,204
206,"The Selection (The Selection, #1)",Kiera Cass,en-US,EN-US,4.15,505340,205
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,en-US,EN-US,4.03,391007,206
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,eng,ENG,4.04,377249,207
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,eng,ENG,4.14,351107,208
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,en-US,EN-US,4.14,248283,209
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,en-US,EN-US,3.89,348196,210
212,Atonement,Ian McEwan,eng,ENG,3.88,347006,211
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",eng,ENG,3.78,364933,212
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,eng,ENG,4.33,446668,213
215,Ready Player One,Ernest Cline,eng,ENG,4.31,349423,214
216,The Art of Racing in the Rain,Garth Stein,eng,ENG,4.19,327409,215
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",eng,ENG,3.98,309385,216
218,"Bared to You (Crossfire, #1)",Sylvia Day,eng,ENG,4.19,222678,217
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",eng,ENG,4.24,376385,218
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,en-US,EN-US,4.23,291411,219
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,eng,ENG,4.08,311543,220
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,eng,ENG,3.98,327122,221
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,eng,ENG,3.82,386923,222
224,"Fallen (Fallen, #1)",Lauren Kate,en-US,EN-US,3.74,395296,223
225,East of Eden,John Steinbeck,eng,ENG,4.35,320919,224
226,Dark Places,Gillian Flynn,eng,ENG,3.92,333452,225
227,The Client,John Grisham,eng,ENG,3.97,320083,226
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",eng,ENG,3.4,323762,227
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",eng,ENG,4.06,340920,228
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",eng,ENG,4.13,365425,229
231,Sarah's Key,Tatiana de Rosnay,eng,ENG,4.14,312444,230
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,en-US,EN-US,3.99,332494,231
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",eng,ENG,3.89,283806,232
234,Speak,Laurie Halse Anderson,eng,ENG,4.0,360156,233
235,The Husband's Secret,Liane Moriarty,eng,ENG,3.92,232106,234
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,en-US,EN-US,4.11,291258,235
237,Carrie,Stephen King,unknown,UNKNOWN,3.93,356814,236
238,Running with Scissors,Augusten Burroughs,en-US,EN-US,3.7,293878,237
239,World War Z: An Oral History of the Zombie War,Max Brooks,en-US,EN-US,4.01,312969,238
240,"Inferno (Robert Langdon, #4)",Dan Brown,eng,ENG,3.8,287533,239
241,Number the Stars,Lois Lowry,eng,ENG,4.11,333638,240
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,eng,ENG,4.08,311499,241
243,Misery,Stephen King,en-GB,EN-GB,4.11,334647,242
244,Sharp Objects,Gillian Flynn,en-US,EN-US,3.92,207889,243
245,Bridge to Terabithia,Katherine Paterson,eng,ENG,3.98,337644,244
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",en-US,EN-US,3.79,360044,245
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,en-US,EN-US,4.05,314700,246
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",eng,ENG,3.94,334241,247
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,en-US,EN-US,3.97,294726,248
250,Wonder,R.J. Palacio,eng,ENG,4.43,228538,249
251,The Cat in the Hat,Dr. Seuss,eng,ENG,4.15,314016,250
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,eng,ENG,4.15,427663,251
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",en-US,EN-US,3.83,297712,252
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,eng,ENG,3.78,356625,253
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",eng,ENG,3.68,283295,254
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",en-US,EN-US,3.64,283516,255
257,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",eng,ENG,4.03,343252,256
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",eng,ENG,4.24,263685,257
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,eng,ENG,3.93,305643,258
260,How to Win Friends and Influence People,Dale Carnegie,eng,ENG,4.13,282623,259
261,Under the Tuscan Sun,Frances Mayes,eng,ENG,3.72,279264,260
262,Big Little Lies,Liane Moriarty,eng,ENG,4.2,306186,261
263,Ella Enchanted,Gail Carson Levine,eng,ENG,3.97,339117,262
264,The Sun Also Rises,Ernest Hemingway,en-US,EN-US,3.83,284988,263
265,A Tree Grows in Brooklyn,Betty  Smith,eng,ENG,4.24,291909,264
266,"Kiss the Girls (Alex Cross, #2)",James Patterson,eng,ENG,3.93,274639,265
267,The Nightingale,Kristin Hannah,eng,ENG,4.54,253606,266
268,Never Let Me Go,Kazuo Ishiguro,eng,ENG,3.8,294123,267
269,P.S. I Love You,Cecelia Ahern,en-US,EN-US,4.01,262921,268
270,Rebecca,"Daphne du Maurier, Sally Beauman",en-US,EN-US,4.2,177384,269
271,Flowers for Algernon,Daniel Keyes,en-US,EN-US,4.07,313044,270
272,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",en-US,EN-US,3.94,263199,271
273,Snow Flower and the Secret Fan,Lisa See,eng,ENG,4.05,280475,272
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",eng,ENG,4.36,256480,273
275,An Abundance of Katherines,John Green,eng,ENG,3.63,312754,274
276,Foundation (Foundation #1),Isaac Asimov,eng,ENG,4.13,279688,275
277,The Ocean at the End of the Lane,Neil Gaiman,eng,ENG,3.99,293844,276
278,A Light in the Attic,Shel Silverstein,eng,ENG,4.34,297861,277
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",eng,ENG,3.75,270603,278
280,"Delirium (Delirium, #1)",Lauren Oliver,eng,ENG,3.99,256975,279
281,The Pelican Brief,John Grisham,eng,ENG,3.95,288376,280
282,Coraline,Neil Gaiman,eng,ENG,4.03,316379,281
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",en-US,EN-US,4.25,298304,282
284,On the Road,Jack Kerouac,eng,ENG,3.64,246602,283
285,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,eng,ENG,4.01,251703,284
286,The Lucky One,Nicholas Sparks,en-US,EN-US,4.1,267166,285
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",eng,ENG,3.85,244545,286
288,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,unknown,UNKNOWN,4.01,270318,287
289,"Watership Down (Watership Down, #1)",Richard Adams,eng,ENG,4.05,292426,288
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,eng,ENG,3.84,290674,289
291,Cutting for Stone,Abraham Verghese,eng,ENG,4.28,258319,290
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",eng,ENG,4.08,306492,291
293,Treasure Island,Robert Louis Stevenson,eng,ENG,3.82,268012,292
294,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,eng,ENG,4.44,299980,293
295,11/22/63,Stephen King,eng,ENG,4.29,258464,294
296,The Very Hungry Caterpillar Board Book,Eric Carle,eng,ENG,4.29,296952,295
297,Cat's Cradle,Kurt Vonnegut Jr.,eng,ENG,4.18,238940,296
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",eng,ENG,3.87,276076,297
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",eng,ENG,4.01,228371,298
300,The Boy in the Striped Pajamas,John Boyne,eng,ENG,4.1,285692,299
301,Heart of Darkness,Joseph Conrad,eng,ENG,3.42,255576,300
302,Safe Haven,Nicholas Sparks,eng,ENG,4.19,255531,301
